COMPANY_ID,AVG_USD_AMT_ALL_MAKE,AVG_NET_REVENUE_USD_AMT_ALL_MAKE,FREQ_ACTIVE_MAKE,PAYTYPE_COUNT_ALL_MAKE,SUPPLIER_PAYMENT_PERCENT_MAKE,RENT_PAYMENT_PERCENT_MAKE,PAYROLL_PAYMENT_PERCENT_MAKE,MONTHS_SINCE_FIRST_PAYMENT_ALL_MAKE,MONTHS_SINCE_LAST_PAYMENT_ALL_MAKE,RSD_PERCENTAGE_MAKE,USE_COLLECT,ENTITY_NAME,CU_COMPANY_L2_INDUSTRY_NUMERIC,Combined_Cluster
4403,13445.356080163333,149.359784420000,0.750000,1,0.000000,0.000000,1.000000,4,1,0.19130761226893564,0,OON GROUP PTE. LTD.,1,active_0
4680,28465.844177210000,104.474422030000,1.000000,1,0.000000,0.000000,0.000000,0,0,0.8411326364294958,0,LORNA WHISTON PRE-SCHOOL EDUCATION PTE LTD,1,active_3
344,20194.291184893913,-124.117817065000,1.586207,1,0.000000,1.000000,0.000000,28,0,0.5096549330071333,0,EMILE PRESCHOOL PTE. LTD.,1,active_0
3795,2337.993174386000,7.994344358000,6.875000,2,0.800000,0.200000,0.000000,7,0,0.6533688470449222,0,THE NUGGETS ACADEMY PTE. LTD.,1,active_1
4303,7595.594978400000,-9.343362050000,2.000000,1,1.000000,0.000000,0.000000,5,5,0.8411326364294958,0,DASHSTAR PTE. LTD.,1,active_2
3873,41436.572355053333,-2.737245243333,0.333333,2,0.000000,0.333333,0.000000,9,1,0.27943506512336475,0,LORNA WHISTON SCHOOLS PTE. LTD.,1,active_3
3761,2017.122054172500,8.650985420000,0.800000,2,0.250000,0.750000,0.000000,10,6,0.717075278636519,0,DURIAN ACADEMY PTE. LTD.,1,active_2
3069,3169.324729722609,32.184669621739,1.210526,1,0.000000,1.000000,0.000000,19,1,0.44455031022911107,0,THE GLOBAL EDUCATION EXCHANGE PTE. LIMITED,1,active_0
961,2469.476647000000,-7.482134550000,1.000000,1,0.000000,1.000000,0.000000,59,59,0.8411326364294958,0,SGEDUCATORS LLP,1,lapsed_0
915,6886.541750000000,-18.593662725000,0.400000,1,1.000000,0.000000,0.000000,61,57,0.8411326364294958,0,FUTURE ACHIEVERS HUB PTE. LTD.,1,lapsed_0
2539,3945.802300000000,22.952657530000,1.000000,1,0.000000,0.000000,1.000000,26,25,0.8411326364294958,0,ATHENA & TULLY PTE. LTD.,0,lapsed_2
560,25170.500731066667,109.168550586667,0.532258,1,0.000000,1.000000,0.000000,61,0,0.23245816710994704,0,MINDCHAMPS CHINESE PRESCHOOL @ THOMSON PTE. LIMITED,1,active_3
4203,14545.206569807692,63.242219708462,3.714286,4,0.000000,0.269231,0.269231,6,0,0.020261199633415047,1,MAPLEBEAR BRIGHT LEARNERS PTE. LTD.,1,active_1
2766,3573.556800000000,-28.826691520000,1.000000,1,0.000000,0.000000,1.000000,22,22,0.8411326364294958,0,FORTE BIOTECH PTE. LTD.,4,lapsed_2
713,10663.775447365957,51.003494386596,1.740741,3,0.276596,0.468085,0.255319,61,35,0.425793529594041,0,LITTLE SKITTLES INTERNATIONAL PRESCHOOL PTE. LTD.,1,lapsed_1
470,735.110413400000,1.618027106667,0.545455,1,1.000000,0.000000,0.000000,58,48,1.7457709450645504,0,MUN INC. PTE. LTD.,1,lapsed_0
1034,2750.678342610000,-59.440161440000,1.000000,1,0.000000,1.000000,0.000000,56,56,0.8411326364294958,0,SAGEPATHS GLOBAL EDUCATION PTE. LTD.,1,lapsed_0
3408,3076.757955700000,4.437166360000,1.000000,1,0.000000,1.000000,0.000000,14,14,0.8411326364294958,0,ALORA CHILDCARE (LENG KEE) PTE. LTD.,1,lapsed_3
3952,1947.588456000000,5.807029800000,1.000000,1,1.000000,0.000000,0.000000,8,8,0.8411326364294958,0,STUDY HOUSE ACADEMY,1,active_2
1963,5814.446584784444,8.100062080000,9.000000,3,0.777778,0.111111,0.000000,33,33,0.8411326364294958,0,MINDCHAMPS PRESCHOOL @ THE BROOKS II PTE. LIMITED,1,lapsed_1
766,36931.088260978796,76.189416646852,1.741935,2,0.000000,0.527778,0.472222,61,0,0.1575173257385632,0,QUALITY CENTRES (PTE. LTD.),1,active_3
4671,4076.445580680000,42.934795970000,4.000000,3,0.250000,0.250000,0.500000,0,0,0.8411326364294958,0,LVL MUSIC ACADEMY PTE. LTD.,1,active_1
3953,3727.085007687317,7.687595907683,9.111111,4,0.780488,0.195122,0.000000,8,0,1.0692638963562553,0,PAIN THERAPEUTICS PTE. LTD.,4,active_1
3760,3106.806983890789,14.041296178684,3.454545,2,0.710526,0.289474,0.000000,10,0,0.6545634243910645,0,MR BAZAAR PTE. LTD.,1,active_1
2974,9074.550811747143,23.941767001429,0.736842,3,0.500000,0.000000,0.000000,19,1,2.2605798660567284,0,TREXX PRIVATE LIMITED,3,active_1
4177,18372.348310853429,74.258297592286,5.000000,4,0.628571,0.171429,0.171429,6,0,0.4939221942691886,1,MAPLEBEAR SMART LEARNERS PTE. LTD.,1,active_1
3851,3530.376322000000,12.818781400000,2.200000,1,1.000000,0.000000,0.000000,9,0,1.4920801529776218,0,CODEBYTE EDUCATION PTE. LTD.,0,active_0
3224,831.589002090000,-17.071178630000,1.000000,1,1.000000,0.000000,0.000000,16,16,0.8411326364294958,0,POWER LEARNING PTE. LTD.,1,lapsed_2
3331,17419.020087265500,84.124877281500,2.666667,6,0.275000,0.250000,0.375000,15,1,0.591633819716897,0,THE LITTLE HOUSE (MONTESSORI) PTE. LTD.,1,active_1
2055,15983.291156250000,110.430660234583,1.714286,1,1.000000,0.000000,0.000000,34,21,0.9988762786842027,0,ANCHOR OF LIFE TRAINING CONSULTANTS PTE. LTD.,1,lapsed_1
3376,18493.277419787500,166.263452575000,1.333333,2,0.500000,0.500000,0.000000,15,13,2.1049618925463585,0,MAPLEBEAR PLAYWORKS PTE. LTD.,1,lapsed_1
4217,13012.521172783000,10.743005130000,1.666667,1,0.000000,0.000000,1.000000,5,0,0.6464949545906618,0,MINDFLEX PREMIUM PTE. LTD.,1,active_0
4216,17936.788699357917,-15.944980890208,8.000000,5,0.520833,0.250000,0.166667,5,0,0.7377452684386656,0,MINDFLEX EDUCATION PTE. LTD.,1,active_1
3226,596.998957376250,6.259308082500,1.600000,3,0.750000,0.000000,0.000000,16,12,2.235996594808603,0,NUMBER SKILL LEARNING CENTRE PTE. LTD.,1,active_2
377,3654.635207273448,23.807453001149,6.214286,1,0.000000,1.000000,0.000000,56,1,0.5229869015729031,0,THE PIQUE LAB PTE. LTD.,1,active_1
666,35026.888947261852,374.446987460741,0.435484,1,0.000000,1.000000,0.000000,61,0,0.3802634166337526,0,MAPLEBEAR LITTLE GEMS PTE. LTD.,1,active_3
3328,2626.264421170000,3.361038460000,0.846154,3,0.090909,0.727273,0.000000,13,1,0.8011321589807545,0,SCIENCE MATTERS PTE. LTD.,1,active_1
2743,2994.326257755556,35.836763628519,2.347826,2,0.000000,0.296296,0.703704,22,0,0.2597308704121339,0,IB MATH AND PHYSICS,0,active_0
2798,3500.025905566667,19.284798536667,0.500000,2,0.333333,0.000000,0.666667,22,17,1.811481814001215,0,ACETEK COLLEGE PTE. LTD.,2,lapsed_1
325,9669.858932569524,73.942491600476,0.344262,2,0.000000,0.142857,0.857143,61,1,1.0075129796981857,0,IDEALKIDZ PTE. LTD.,1,active_0
183,3335.899492827717,4.630167559457,7.666667,2,0.956522,0.043478,0.000000,61,50,0.49558586866131954,0,MINDCHAMPS PRESCHOOL @ RAFFLES TOWN CLUB PTE. LTD.,1,lapsed_0
452,2626.800210286389,7.981150323056,0.972973,3,0.333333,0.277778,0.388889,60,24,0.8796122184036994,1,THE GLOBAL CITIZEN PTE. LTD.,1,lapsed_1
1888,11320.233818666667,108.568295317778,0.818182,2,0.333333,0.666667,0.000000,36,26,1.2534939446636544,0,AAYTOZEE @ HILLVIEW PTE. LTD.,1,lapsed_1
3142,1968.657551300000,-44.565231260000,1.000000,1,0.000000,0.000000,0.000000,18,18,0.8411326364294958,0,BEST CHEM TUITION PTE. LTD.,1,lapsed_2
1231,5009.121570750000,0.454139510000,1.000000,1,1.000000,0.000000,0.000000,54,54,0.8411326364294958,0,KYAN SINGAPORE PTE. LTD.,4,lapsed_0
